City,Latitude,Longitude,Temperature,% Humidity,% Cloudiness,Wind Speed
Kilemary,56.7783,46.8659,279.49,93,100,2.24
Verkhnetulomskiy,68.6073,31.7962,279.22,89,87,2.74
Seoul,37.5683,126.9778,281.84,74,1,3.54
Huarmey,-10.0681,-78.1522,293.14,74,17,5.47
Saint-François,46.4154,3.9054,288.84,82,0,1.03
Dudinka,69.4058,86.1778,275.17,100,100,2.44
Onega,63.9061,38.1404,281.62,82,100,5.07
Porto-Novo,6.4965,2.6036,300.05,82,100,2.21
Seinäjoki,62.7945,22.8282,284.47,79,75,6.69
Ust'-Ilimsk,58.0006,102.6619,277.28,97,100,3.08
Sørland,67.667,12.6934,282.07,77,56,12.31
Talnakh,69.4865,88.3972,274.01,99,100,3.22
Uyuni,-20.4597,-66.825,287.23,5,0,14.71
Vila Velha,-20.3297,-40.2925,299.12,83,75,7.72
Klaksvík,62.2266,-6.589,278.66,74,100,13.14
Gigmoto,13.7796,124.39,300.03,87,100,3.74
Simbahan,6.3032,120.5836,301.57,76,88,6.67
Trail,49.0998,-117.7022,295.36,39,94,2.54
Murgab,37.4966,61.9714,287.08,47,0,0.0
Chivilcoy,-34.8957,-60.0167,296.02,13,96,4.36
Waipawa,-41.4122,175.5153,285.35,80,100,7.76
Mercedes,-34.6515,-59.4307,294.84,16,100,5.27
Ulaangom,49.9811,92.0667,277.59,58,55,3.83
The Valley,18.217,-63.0578,303.07,74,20,5.66
Bay Roberts,47.5999,-53.2648,285.0,56,6,4.92
Cândido Mendes,-1.4467,-45.7167,301.84,66,78,3.55
Kisangani,0.5167,25.2,294.69,93,30,0.58
Lingyuan,41.24,119.4011,275.88,40,0,1.51
Zaria,11.1113,7.7227,298.13,43,3,1.59
Casablanca,33.5928,-7.6192,294.27,74,100,2.34
Novobirilyussy,56.9514,90.6661,279.3,85,100,4.6
Mae Sot,16.7167,98.5667,297.83,97,98,1.08
Tagusao,9.1924,117.8141,299.3,83,100,2.39
Baturaja,-4.1333,104.1667,296.48,95,100,0.33
Grand Gaube,-20.0064,57.6608,295.37,71,13,1.34
Kloulklubed,7.0419,134.2556,302.62,69,100,5.61
Youghal,51.95,-7.8506,283.71,79,80,2.96
Tadine,-21.55,167.8833,295.54,72,100,6.93
Maralal,1.0968,36.698,289.67,50,40,4.48
Nyurba,63.2842,118.3319,270.06,96,100,0.72
Belgrade,44.804,20.4651,287.96,71,0,3.09
Saint-Rémi,45.2668,-73.6159,286.33,49,18,2.24
Batagay-Alyta,67.8006,130.4114,257.16,90,30,2.12
Rovaniemi,66.5,25.7167,281.82,87,100,8.23
Likasi,-10.9814,26.7333,293.41,26,2,1.21
Coxim,-18.5067,-54.76,302.13,57,81,1.76
Lakhdenpokh'ya,61.5198,30.1992,281.5,88,8,4.3
Dharmavaram,14.4333,77.7167,296.78,90,86,2.44
Severodvinsk,64.5635,39.8302,281.21,87,81,5.43
Luau,-10.7073,22.2247,296.3,22,87,1.49
Ostrovnoy,68.0531,39.5131,277.52,91,99,5.33
Aleppo Governorate,36.25,37.5,294.51,36,0,4.29
Vila Franca do Campo,37.7167,-25.4333,297.15,91,31,1.83
Morondava,-20.2833,44.2833,297.48,84,0,4.53
Ariquemes,-9.9133,-63.0408,307.42,38,77,0.73
Lata,40.1629,-8.3327,291.52,94,46,0.64
Punta Cardon,11.6581,-70.215,303.18,67,12,10.8
Gunjur,13.2019,-16.7339,300.19,83,20,0.0
Kodinsk,58.6881,99.1844,278.54,90,96,2.7
Taylor,32.3001,-99.8337,296.85,64,100,2.57
Punta Alta,-38.8759,-62.0736,292.63,34,5,2.9
